@relation _Users_mani_Courses_CS6604DigitalLibraries_Project_codeBase_mani_filesLargeDataSet

@attribute text string
@attribute @@class@@ {'Access control',Authorization,'Block and stream ciphers','Browser security','Cryptanalysis and other attacks','Data anonymization and sanitization','Database activity monitoring','Denial-of-service attacks','Digital rights management','Digital signatures','Distributed systems security','Domain-specific security and privacy architectures','Economics of security and privacy','Embedded systems security','File system security','Formal security models','Hardware reverse engineering','Hardware-based security protocols','Hash functions and message authentication codes','Information accountability and usage control','Information flow control','Information-theoretic techniques','Intrusion detection systems','Key management','Logic and verification','Malicious design modifications','Malware and its mitigation','Management and querying of encrypted data','Mathematical foundations of cryptography','Mobile and wireless security','Mobile platform security','Multi-factor authentication','Penetration testing','Privacy protections','Privacy-preserving protocols','Pseudonymity, anonymity and untraceability','Public key encryption','Security protocols','Security requirements','Side-channel analysis and countermeasures','Social aspects of security and privacy','Social network security and privacy','Software reverse engineering','Software security engineering','Spoofing attacks','Tamper-proof and tamper-resistant designs','Trust frameworks','Trusted computing','Usability in security and privacy','Virtualization and security','Vulnerability scanners','Web application security','Web protocol security'}

@data
'constructing round-optimal blind signatures in the standard model has been a long standing open problem. in particular, fischlin and schr&#246;der recently ruled out a large class of three-move blind signatures in the standard model (eurocrypt\'10). in particular, their result shows that finding security proofs for the well-known blind signature schemes by chaum, and by pointcheval and stern in the standard model via black-box reductions is hard. in this work we propose the first roundoptimal, i.e., two-move, blind signature scheme in the standard model (i.e., without assuming random oracles or the existence of a common reference string). our scheme relies on the decisional diffie hellman assumption and the existence of sub-exponentially hard 1-to-1 one way functions. this scheme is also secure in the concurrent setting.round optimal blind signatures','Digital signatures'
'we present a round-optimal blind signature scheme based on waters\' signature scheme. our construction resembles that of fischlin [10], but does not rely on generic non-interactive zero-knowledge proofs. in addition to a common reference string, our scheme requires a registered public key for the signer. round-optimal blind signatures from waters signatures','Digital signatures'
'rsa-based undeniable signatures','Digital signatures'
'a sanitizable signature scheme is a signature scheme which allows a sanitizer to hide parts of the original message after the message is signed, without interacting with the signer. there exists many security models, properties and constructions for sanitizable signatures, which are useful in different scenarios. the aim of this paper is twofold. firstly, we summarize different properties in the literature and gives some generic conversions between them. we propose a security model to capture most of these properties. secondly, we present the &lt;em&gt;first&lt;/em&gt; concrete construction of sanitizable signatures which is proven secure in the standard model. sanitizable signatures revisited','Digital signatures'
'we introduce the notion of sanitizable signatures that offer many attractive security features for certain current and emerging applications. a sanitizable signature allows authorized semi-trusted censors to modify &#8211; in a limited and controlled fashion &#8211; parts of a signed message without interacting with the original signer. we present constructions for this new primitive, based on standard signature schemes and secure under common cryptographic assumptions. we also provide experimental measurements for the implementation of a sanitizable signature scheme and demonstrate its practicality.sanitizable signatures','Digital signatures'
'digital signatures provide authentication and nonrepudiation in a public way in the sense that anyone can verify the validity of a digital signature using the corresponding public key. in this paper, we consider the issues of (1) signature privacy and (2) the corresponding public provability of signature. we propose a new digital signature variant, secret signature, which provides authentication and nonrepudiation to the designated receiver only. if required, the correctness of the secret signature can be proven to the public either by the signer or the receiver. we conclude with a discussion to demonstrate the usefulness of the proposed cryptographic primitive (e.g., achieving signature privacy in an efficient manner).secret signatures','Digital signatures'
'in pkc 2006, chow, boyd and gonz&#225;lez neito introduced the notion of security mediated certificateless (smc) cryptography. smc cryptography equips certificateless cryptography with instantaneous revocation. they presented a formal security model with two constructions for smc encryption. this paper studies smc signatures. we first present a security analysis of a previous attempt by ju &lt;em&gt;et al.&lt;/em&gt;in constructing a smc signature scheme. we then formalize the notion of smc signatures and propose the first concrete provable scheme without bilinear pairing. our scheme is existential unforgeable in the random oracle model based on the intractability of the discrete logarithm problem, has a short public key size, and achieves a trust level which is the same as that of a traditional public key signature.security mediated certificateless signatures','Digital signatures'
'a digital signature provides the authenticity of a signed message with respect to a public key, while the authenticity of the public key with respect to a signer lies on a certificate provided by a certificate authority. whenever a verifier wants to verify a signature, he has first to verify the corresponding certificate. to reduce this burden, lee and kim proposed a new digital signature scheme called self-certified signature (scs). in this scheme, verifiers can validate both the signature on the message and the related certificate information simultaneously. then they extended the proposed self-certified signature scheme to a multi-certificate signature scheme (mcs), in which multiple certificate information need to be verified. in this paper, we show that their multi-certificate signature scheme does not satisfy certification as lee and kim claimed.security of self-certified signatures','Digital signatures'
'a digital signature provides the authenticity of a signed message with respect to a public key and a certificate provides the authorization of a signer for a public key. digital signature and certificate are generated independently by different parties, but they are verified by the same verifier who wants to verify the signature. in the point of a verifier, verifying two independent digital signatures (a digital signature and the corresponding certificate) is a burden.in this paper we propose a new digital signature scheme called self-certified signature. in this scheme a signer computes a temporary signing key with his long-term signing key and its certification information together, and generates a signature on a message and certification information using the temporary signing key in a highly combined and unforgeable manner. then, a verifier verifies both signer\'s signature on the message and related certification information together. this approach is very advantageous in efficiency. we extend the proposed self-certified signature scheme to multi-certification signature in which multiple certification information are verified. we apply it to public key infrastructure (pki) and privilege management infrastructure (pmi) environments.self-certified signatures','Digital signatures'
'a server-aided verification signature scheme consists of a digital signature scheme and a server-aided verification protocol. by executing the server-aided verification protocol with the server, one can perform the verification of signatures with less computational cost compared to the original verification algorithm. this mechanism is therefore indispensable for low-power devices such as smart cards. the contributions of this paper are manyfold. firstly, we introduce and define the existential unforgeability of server-aided verification signatures. we prove that the new notion includes the existing security requirements in server-aided verification signatures. then, we analyze the girault-lefranc scheme in asiacrypt 2005 and show that their scheme can be made secure in our model, but the computational cost is more than the claimed in the original scheme. after that, we propose the first server-aided verification bls, which is existentially unforgeable in the random oracle model under the bilinear diffie-hellman assumption. finally, we consider the collusion and adaptive chosen message attack in server-aided verification signatures. for the first time in the literature, the security of server-aided verification signatures against such attacks is defined. we provide a concrete construction of a server-aided verification bls secure against the collusion and chosen message attack. server-aided verification signatures','Digital signatures'
'server-supported signatures','Digital signatures'
'this paper presents a practical digital signature scheme to be used in conjunction with network coding. furthermore, the authors&#39; idea simultaneously provides authentication and detects malicious nodes that intentionally corrupt content on the network.signatures for network coding','Digital signatures'
'in this paper, we address the problem of computing a canonical representation of an n-dimensional combinatorial map. to do so, we define two combinatorial map signatures: the first one has a quadratic space complexity and may be used to decide of isomorphism with a new map in linear time whereas the second one has a linear space complexity and may be used to decide of isomorphism in quadratic time. experimental results show that these signatures can be used to recognize images very efficiently. signatures of combinatorial maps','Digital signatures'
'we introduce signatures of correct computation (scc), a new model for verifying dynamic computations in cloud settings. in the scc model, a trusted source outsources a function f to an untrusted server, along with a public key for that function (to be used during verification). the server can then produce a succinct signature &#963; vouching for the correctness of the computation of f, i.e., that some result v is indeed the correct outcome of the function f evaluated on some point a. there are two crucial performance properties that we want to guarantee in an scc construction: (1) verifying the signature should take asymptotically less time than evaluating the function f; and (2) the public key should be efficiently updated whenever the function changes. we construct scc schemes (satisfying the above two properties) supporting expressive manipulations over multivariate polynomials, such as polynomial evaluation and differentiation. our constructions are adaptively secure in the random oracle model and achieve optimal updates, i.e., the function\'s public key can be updated in time proportional to the number of updated coefficients, without performing a linear-time computation (in the size of the polynomial). we also show that signatures of correct computation imply publicly verifiable computation (pvc), a model recently introduced in several concurrent and independent works. roughly speaking, in the scc model, any client can verify the signature &#963; and be convinced of some computation result, whereas in the pvc model only the client that issued a query (or anyone who trusts this client) can verify that the server returned a valid signature (proof) for the answer to the query. our techniques can be readily adapted to construct pvc schemes with adaptive security, efficient updates and without the random oracle model.signatures of correct computation','Digital signatures'
'reputation systems have become an increasingly important tool for highlighting quality information and filtering spam within online forums. however, the dependence of a user&#8217;s reputation on their history of activities seems to preclude any possibility of anonymity. we show that useful reputation information can, in fact, coexist with strong privacy guarantees. we introduce and formalize a novel cryptographic primitive we call signatures of reputation which supports monotonic measures of reputation in a completely anonymous setting. in our system, a user can express trust in others by voting for them, collect votes to build up her own reputation, and attach a proof of her reputation to any data she publishes, all while maintaining the unlinkability of her actions.signatures of reputation','Digital signatures'
'randomizable encryption allows anyone to transform a ciphertext into a fresh ciphertext of the same message. analogously, a randomizable signature can be transformed into a new signature on the same message. we combine randomizable encryption and signatures to a new primitive as follows: given a signature on a ciphertext, anyone, knowing neither the signing key nor the encrypted message, can randomize the ciphertext and adapt the signature to the fresh encryption, thus maintaining public verifiability. moreover, given the decryption key and a signature on a ciphertext, one can compute (\"extract\") a signature on the encrypted plaintext. as adapting a signature to a randomized encryption contradicts the standard notion of unforgeability, we introduce a weaker notion stating that no adversary can, after querying signatures on ciphertexts of its choice, output a signature on an encryption of a new message. this is reasonable since, due to extractability, a signature on an encrypted message can be interpreted as an encrypted signature on the message. using groth-sahai proofs and waters signatures, we give several instantiations of our primitive and prove them secure under classical assumptions in the standard model and the crs setting. as an application, we show how to construct an efficient non-interactive receipt-free universally verifiable e-voting scheme. in such a scheme a voter cannot prove what his vote was, which precludes vote selling. besides, our primitive also yields an efficient round-optimal blind signature scheme based on standard assumptions, and namely for the classical waters signature.signatures on randomizable ciphertexts','Digital signatures'
'the aim of this paper is to present a new method to compare histograms. the main advantage is that there is an important time-complexity reduction with respect to the methods presented before. this reduction is statistically and analytically demonstrated in the paper. the distances between histograms that we presented are defined on a structure called signature, which is a lossless representation of histograms. moreover, the type of the elements of the sets that the histograms represent are ordinal, nominal and modulo. we show that the computational cost of these distances is o(z^\') for the ordinal and nominal types and o(z^\'^2) for the modulo one, z^\' being the number of non-empty bins of the histograms. the computational cost of the algorithms presented in the literature depends on the number of bins of the histograms. in most of the applications, the obtained histograms are sparse; then considering only the non-empty bins drastically decreases the time consumption of the comparison. the distances and algorithms presented in this paper are experimentally validated on the comparison of images obtained from public databases and positioning of mobile robots through the recognition of indoor scenes (captured in a learning stage).signatures versus histograms','Digital signatures'
'this paper presents a new framework for the symbolic representation of data which is referred to as signatures. the definitions of signatures and of signature trees are first given. original operators on signatures are next presented, i.e., contraction, extension, pruning, addition, multiplication, and grafting. attractive applications of signatures related to the modelling of fuzzy inference systems are suggested and discussed. an example is included to accompany the theoretical results.signatures','Digital signatures'
'data on large dynamic social networks, such as telecommunications networks and the internet, are pervasive. however, few methods conducive to efficient large-scale analysis exist. in this paper, we focus on the task of re-identification. re-identification in the context of dynamic networks is a matching problem that involves comparing the behavior of networked entities across two time periods. prior research has reported success in the domains of e-mail alias detection, author attribution, and identifying fraudulent consumers in the telecommunications industry. in this work, we address the question of \"why are we able to re-identify entities on real world dynamic networks?\" our contribution is two-fold. first, we address the challenge of scale with a framework for matching that does not require pairwise comparisons to ascertain the similarity scores between networked entities. second, we show our method is robust against missing links but less tolerant to noise. using our framework, we provide a performance estimate for re-identification on networks based solely on their degree distribution and dynamics. this work has significant implications for re-identification problems where scale is a challenge as well as for problems where false negatives (e.g.,when fraudulent consumers are not labeled as fraudulent) cannot be observed.social network signatures','Digital signatures'
'group signature schemes enable to create digital signatures such that the signers are hidden in a group of potential signers. however, in a case of need it is possible to reveal the actual signer either by a group administrator or collectively by the group members. we design a new kind of signatures that we call step-out group signature where the situation is reversed: any member of the group except the signer may prove that he or she was not the signer. this is a dual solution that is useful in certain scenarios: in many cases it is unnecessary to find the signer, it suffices to eliminate some potential signers (e.g. during prosecutions and court procedures). our solution is more convenient for implementing personal data protection rules: since the signer is not revealed, there is no need to protect this information. on the other hand, the traditional scheme may lead to serious legal problems: if the legal case is to find out whether bob has created group signature s, it might be illegal to reveal that alice has created s.step-out group signatures','Digital signatures'
'we propose a version of ring signatures for which the set of potential signers may be reduced: the real signer can prove that he or she has created the signature, while every other member of the ring can prove not to be the signer. possibility to run these protocols is triggered by publishing certain secret information. the proposed scheme is an intermediate solution between the classical ring and group signatures, and can be used for instance for e-auction schemes.step-out ring signatures','Digital signatures'
'an aggregate signature scheme is a digital signature scheme where anyone given n signatures on n messages from n users can aggregate all these signatures into a single short signature. unfortunately, no \"fully non-interactive\" aggregate signature schemes are known outside of the random oracle heuristic; that is, signers must pass messages between themselves, sequentially or otherwise, to generate the signature. interaction is too costly for some interesting applications. in this work, we consider the task of realizing aggregate signatures in the model of gentry and ramzan (pkc 2006) when all signers share a synchronized clock, but do not need to be aware of or interactive with one another. each signer may issue at most one signature per time period and signatures aggregate only if they were created during the same time period. we call this synchronized aggregation. we present a surprisingly efficient synchronized aggregate signature scheme secure under the computational diffie-hellman assumption in the standard model. our construction is based on the stateful signatures of hohenberger and waters (eurocrypt 2009). those signatures do not aggregate since each signature includes unique randomness for a chameleon hash and those random values do not compress. to overcome this challenge, we remove the chameleon hash from their scheme and find an alternative method for moving from weak to full security that enables aggregation. we conclude by discussing applications of this construction to sensor networks and software authentication.synchronized aggregate signatures','Digital signatures'
'signatures are the most widely used form of legally binding identification and authentication. the repeatability of a person&#253;s signature underpins its recognition and hence usefulness in everyday authentication situations. this study aims to assess the stability of a set of common features used for analysing signatures both within a single capture session and over time (multiple sessions). secondly, the physical characteristics of signatures which result in the most repeatable performance for each feature are also analyzed. these results have implications for biometric signature verification systems and the document forensic field in that it gives an indication as to the stability of features leading potentially to improved performance and the types of features that should be analyzed given particular characteristics of the signature under investigation.the repeatability of signatures','Digital signatures'
'titan: an information management system for faster retrieval from massive databases using signatures','Digital signatures'
'our hypothesis is that data applications leave a signature when used over networks. data that is sent from the original source and travels to the destination utilises the network in a very similar manner, if no strong congestion is experienced. should the network experience congestion, the unavoidable frame losses will alter the signature of the application and change the statistical property of the data. however, certain properties remain the same, even after a network disruption and congestion. these properties can together be used to create an \'\'application signature\'\', which is unique to the specific application. this is due to the protocols used and the parameters set in the environment of the traffic source. we think that these findings could help to understand the traffic characterisation and the processes involved. the traffic profiles could then be used for the dynamic resource allocation (e.g. resource reservation protocol) in future networks as well as with the simulation of such networks.traffic profiles and application signatures','Digital signatures'
'we present novel realizations of the transitive signature primitive introduced by micali and rivest, enlarging the set of assumptions on which this primitive can be based, and also providing performance improvements over existing schemes. more specifically, we propose new schemes based on factoring, the hardness of the one-more discrete logarithm problem, and gap diffie-hellman (dh) groups. all these schemes are proven transitively unforgeable under adaptive chosen-message attack in the standard (not random-oracle) model. we also provide an answer to an open question raised by micali and rivest regarding the security of their rivest-shamir-adleman (rsa)-based scheme, showing that it is transitively unforgeable under adaptive chosen-message attack assuming the security of rsa under one-more inversion. we then present hash-based modifications of the rsa, factoring, and gap diffie-hellman based schemes that eliminate the need for \"node certificates\" and thereby yield shorter signatures. these modifications remain provably secure under the same assumptions as the starting scheme, in the random oracle model.transitive signatures','Digital signatures'
'all known digital signature schemes can be forged by anyone having enough computing power. for a finite set of participants, we can overcome this weakness.we present a polynomial time protocol in which a participant can convince (with an exponentially small error probability) any other participant that his signature is valid. moreover, such a convinced participant can convince any other participant of the signature\'s validity, without interaction with the original signer.an extension allows, in most cases, a participant who receives a signature from any source to convince each other participant of its validity. if a participant cannot use the signature to convince others, he knows so when he receives it.unconditionally secure digital signatures','Digital signatures'
'undeniable signatures','Digital signatures'
'a major problem of mobile agents is their inability to authenticate transactions in a hostile environment. users will not wish to equip agents with their private signature keys when the agents may execute on untrusted platforms. undetachable signatures were introduced to solve this problem by allowing users to equip agents with the means to sign signatures for tightly constrained transactions, using information especially derived from the user private signature key. however, the problem remains that a platform can force an agent to commit to a sub-optimal transaction. in parallel with the work on undetachable signatures, much work has been performedon threshold signature schemes, which allow signing power to be distributed across multiple agents, thereby reducing the trust in a single entity. we combine these notions and introduce the concept of an undetachable threshold signature scheme, which enables constrained signing power to be distributed across multiple agents, thus reducing the necessary trust in single agent platforms. we also provide an rsa-based example of such a scheme basedon a combination of shoup\'s threshold signature scheme, [1] and kotzanikolaou et al\'s undetachable signature scheme, [2].undetachable threshold signatures','Digital signatures'
'uniform complexity and digital signatures','Digital signatures'
'many variants of chaum and van antwerpen&#8217;s undeniable signatures have been proposed to achieve specific properties desired in real-world applications of cryptography. among them, directed signatures were introduced by lim and lee in 1993. directed signatures differ from the well-known confirmer signatures in that the signer has the simultaneous abilities to confirm, deny and individually convert a signature. the universal conversion of these signatures has remained an open problem since their introduction in 1993. this paper provides a positive answer to this quest by showing a very efficient design for universally convertible directed signatures (ucds) both in terms of computational complexity and signature size. our construction relies on the so-called xyz-trick applicable to bilinear map groups. we define proper security notions for ucds schemes and show that our construction is secure in the random oracle model, under computational assumptions close to the cdh and ddh assumptions. finally, we introduce and realize traceable universally convertible directed signatures where a master tracing key allows to link signatures to their direction.universally convertible directed signatures','Digital signatures'
'sanitizable signatures allow a designated party, called the sanitizer, to modify parts of signed data such that the immutable parts can still be verified with respect to the original signer. ateniese et al. (esorics 2005) discuss five security properties for such signature schemes: unforgeability, immutability, privacy, transparency and accountability. these notions have been formalized in a recent work by brzuska et al. (pkc 2009), discussing also the relationships among the security notions. in addition, they prove a modification of the scheme of ateniese et al. to be secure according to these notions. here we discuss that a sixth property of sanitizable signature schemes may be desirable: unlinkability. basically, this property prevents that one can link sanitized message-signature pairs of the same document, thus allowing to deduce combined information about the original document. we show that this notion implies privacy, the inability to recover the original data of sanitized parts, but is not implied by any of the other five notions. we also discuss a scheme based on group signatures meeting all six security properties.unlinkability of sanitizable signatures','Digital signatures'
'secure use of the bgls [1] aggregate signature schemes is restricted to the aggregation of distinct messages (for the basic scheme) or per-signer distinct messages (for the enhanced, prepend-public-key version of the scheme). we argue that these restrictions preclude interesting applications, make usage of the schemes error-prone and are generally undesirable in practice. via a new analysis and proof, we show how the restrictions can be lifted, yielding the first truly unrestricted aggregate signature scheme. via another new analysis and proof, we show that the distinct signer restriction on the sequential aggregate signature schemes of [2] can also be dropped, yielding an unrestricted sequential aggregate signature scheme.unrestricted aggregate signatures','Digital signatures'
'this note continues a sequence of attempts to define efficient digital signature schemes based on low-degree polynomials, or to break such schemes. we consider a scheme proposed by satoh and araki (1997), which generalizes the ong-schnorr-shamir scheme to the noncommutative ring of quaternions. we give two different ways to break the scheme.weakness in quaternion signatures','Digital signatures'
'extensible markup language (xml) has become an important universal language for the internet-based business world. an xml document can be generated from various resources with varying security requirements. in order to ensure the integrity of the contents in the transactions, to maintain privacy and confidentiality, security is increasingly important. xml signatures are designed for the security of xml document transactions. they are involved with the authentication, data integrity and support for non-repudiation of the data they sign. they ensure that signatures cannot be verified without interaction with the signer. in this paper, we propose a new xml undeniable signature method that builds a bridge between the existing xml technologies and data security theories after discussing the existing xml digital signatures and rsa based undeniable signature technologies. we aim to provide a framework for the improvement of security technologies to improve xml applications.xml undeniable signatures','Digital signatures'
'most large scale traffic information systems rely on fixed sensors (e.g. loop detectors, cameras) and user generated data, this latter in the form of gps traces sent by smartphones or gps devices onboard vehicles. while this type of data is relatively inexpensive to gather, it can pose multiple security and privacy risks, even if the location tracks are anonymous. in particular, creating bogus location tracks and sending them to the system is relatively easy. this bogus data could perturb traffic flow estimates, and disrupt the transportation system whenever these estimates are used for actuation. in this article, we propose a new framework for solving a variety of privacy and cybersecurity problems arising in transportation systems. the state of traffic is modeled by the lighthill-whitham-richards traffic flow model, which is a first order scalar conservation law with concave flux function. given a set of traffic flow data, we show that the constraints resulting from this partial differential equation are mixed integer linear inequalities for some decision variable. the resulting framework is very flexible, and can in particular be used to detect spoofing attacks in real time, or carry out attacks on location tracks. numerical implementations are performed on experimental data from the~\\emph{mobile century} experiment to validate this framework.a framework for privacy and security analysis of probe-based traffic information systems','Distributed systems security'
'this paper adopts a model-based security (mbs) approach to identify security requirements during the early stages of multi-agent system development. our adopted mbs approach is underpinned by a metamodel independent of any specific methodology. it allows for security considerations to be embedded within any situated agent methodology which then prescribes security considerations within its work products. using a standard model-driven engineering (mde) approach, these work products are initially constructed as high abstraction models and then transformed into more precise models until code-specific models can be produced. a multi-agent system case study is used to illustrate the applicability of the proposed security-aware metamodel.a security-aware metamodel for multi-agent systems (mas)','Distributed systems security'
'using our alchemy research system as an exemplarsystem, we discuss different approaches to overcomingport-controlled security boundary limitations togeographically distributed computing environments whilemaintaining the inherent security provided by theseboundaries. this discussion is relevant to a number ofparallel/distributed strategies for grid and clusterarchitectures. it also provides insight into generalsecurity concerns in future distributed computingnetworks and how these may best be overcome.addressing security issues in geographically distributed systems','Distributed systems security'
'we present nessi2, the network security simulator, a simulation environment that is based on the service-centric agent platform jiac. it focuses on network security-related scenarios such as attack analysis and evaluation of counter-measures. we introduce the main nessi2 concepts and discuss the motivation for realizing them with agent technology. then, we present the individual components and examples where nessi2 has been successfully applied.agent-based network security simulation','Distributed systems security'
'the tremendous growth of the network-centred (internet and intranet) computing environments requires new architecture for security services. computer crimes are growing rapidly in these environments. in addition, these computing environments are open, and users may be connected or disconnected at any time. this makes computer security a necessity to all computer users. this paper presents a multi-agent system architecture for security services. the main objective of this system is to address some of the shortcomings that are present in contemporary security service systems that focused on providing solutions for specific security issues, such as authentication and authorization. another objective is to provide a relatively complete security service solution to protect hosts and users. the proposed system architecture includes four types of agents: interface, authentication, authorization, and service provider agents (spas). the interface agents interact with the users to fulfill their interests. the authentication agents investigate the validity of using keystroke dynamics to strengthen security. the authorization agents make all decisions regarding who can access which resources and for what purposes. the spas offer different encryption services to different users. this paper provides the agents\' architecture, design and implementations that enable them to cooperate, coordinate, and communicate with each other to provide a secure environment. a prototype of the system is implemented using the java agent development framework.an agent-based approach to security service','Distributed systems security'
'scavenged storage systems harness unused disk space from individual workstations the same way idle cpu cycles are harnessed by desktop grid applications like seti@home. these systems provide a promising low cost, high-performance storage solution in certain high-end computing scenarios. however, selecting the security level and designing the security mechanisms for such systems is challenging as scavenging idle storage opens the door for security threats absent in traditional storage systems that use dedicated nodes under a single administrative domain. moreover, increased security often comes at the price of performance and scalability. this paper develops a general threat model for systems that use scavenged storage, presents the design of a protocol that addresses these threats and is optimized for throughput, and evaluates the overheads brought by the new security protocol when configured to provide a number of different security properties.configurable security for scavenged storage systems','Distributed systems security'
'in open multi-agent systems, trust plays the central role in facilitating interactions. most of trust models need to collect the witness reports, and they may suffer due to existence of malicious witness. to detect the malicious witness reports, this paper presents an approach, osm (opinion similarity measure). evaluator calculates the opinion similarity state (oss) between evaluator and witness according to their reports, and evaluates the witness credibility according to the oss between them. experiment and analysis show that osm is more robust than existing approaches.detecting malicious witness reports in multi-agent systems','Distributed systems security'
'distributed systems security','Distributed systems security'
'our work presents a mechanism designed for the selection of the optimal information provider in a multi-agent, heterogeneous and unsupervised monitoring system. the self-adaptation mechanism is based on the insertion of a small set of prepared challenges that are processed together with the real events observed by the system. the evaluation of the system response to these challenges is used to select the optimal information source. our algorithm uses the concept of trust to identify the best source and to optimize the number of challenges inserted into the system. the mechanism is designed for intrusion/fraud detection systems, which are frequently deployed as part of online transaction processing (banking, telecommunications or process monitoring systems). our approach features unsupervised adjustment of its configuration and dynamic adaptation to the changing environment, which are both vital for these domains.dynamic information source selection for intrusion detection systems','Distributed systems security'
'one of the more mature instances of a service-oriented architecture is the model known as grid computing. computational grids and data grids are becoming commonplace in certain sectors, yet the style of security they implement is suitable only for a fairly small subset of possible user communities. using some case studies and experience, we describe the existing grid security models, explain why they represent shortcomings for some applications, and describe some emerging architectures, trusted computing and virtualisation, which help address the problems.grid security','Distributed systems security'
'handling signature purposes in workflow systems','Distributed systems security'
'as part of a major redesign of our computer science curriculum we are developing an information security option. our approach highlights the many topics in information security that build upon concepts the students will already have seen in their computer systems courses, especially courses on internet protocols and operating systems. in this paper, we describe this integrated approach to information security and computer systems.information security and computer systems','Distributed systems security'
'introduction to special issue on stabilization, safety, and security of distributed systems','Distributed systems security'
'motivated by recent deployments of stackelberg security games (ssgs), two competing approaches have emerged which either integrate models of human decision making into game-theoretic algorithms or apply robust optimization techniques that avoid adversary modeling. recently, a robust technique (match) has been shown to significantly outperform the leading modeling-based algorithms (e.g., quantal response (qr)) even in the presence of significant amounts of subject data. as a result, the effectiveness of using human behaviors in solving ssgs remains in question. we study this question in this paper.modeling human adversary decision making in security games','Distributed systems security'
'detecting security bugs during the development cycle of a software is extremely difficult as effective testing approaches for such bugs do not exist. applications are often deployed without being tested for security vulnerabilities even though the application domain demands highly secure software. hence there is a need to develop systems which can monitor such applications for security violations and take immediate actions if any violation occurs. in this paper we describe an approach for monitoring the security health of a software system. our methodology involves an agent based approach which communicates with the health monitoring system running as an independent process. we make this agent a part of the application(binary) and modify the binary at appropriate locations to transfer the control to the agent attached. the agent sends critical information regarding the execution to the monitoring system. the monitoring system analyzes the data and takes suitable actions. currently our system monitors the following security bugs - buffer overflow, race conditions( time of check to time to use vulnerability), random number vulnerability and can be extended for other vulnerabilities also.monitoring the security health of software systems','Distributed systems security'
'in many exciting multiagent applications--including future battlefields, law enforcement, and commerce--agents must communicate in inherently or potentially hostile environments in which an adversaries disrupt or intercept the communication between agents for malicious purposes, but the wireless ad hoc networks often proposed for these applications are particularly susceptible to attack. intelligent agents must balance network performance with possible harm suffered from an adversary\'s attack, while accounting for the broadcast nature of their communication and heterogenous vulnerabilities of communication links. furthermore, they must do so when the adversary is also actively and rationally attempting to counter their efforts. we address this challenge in this paper by representing the problem as a game between a sender agent choosing communication paths through a network and an adversary choosing nodes and links to attack. we introduce a network-flow-based approach for compactly representing the competing objectives of network performance and security from adversary attack, and provide a polynomial-time algorithm for finding the equilibrium strategy for the sender. through empirical evaluation we show how this technique improves upon existing approaches.multiagent communication security in adversarial settings','Distributed systems security'
'recent work has applied game-theoretic models to real-world security problems at the los angeles international airport (lax) and federal air marshals service (fams). the analysis of these domains is based on input from domain experts intended to capture the best available intelligence information about potential terrorist activities and possible security countermeasures. nevertheless, these models are subject to significant uncertainty---especially in security domains where intelligence about adversary capabilities and preferences is very difficult to gather. this uncertainty presents significant challenges for applying game-theoretic analysis in these domains. our experimental results show that standard solution methods based on perfect information assumptions are very sensitive to payoff uncertainty, resulting in low payoffs for the defender. we describe a model of bayesian stackelberg games that allows for general distributional uncertainty over the attacker\'s payoffs. we conduct an experimental analysis of two algorithms for approximating equilibria of these games, and show that the resulting solutions give much better results than the standard approach when there is payoff uncertainty.robust bayesian methods for stackelberg security games','Distributed systems security'
'scaling security for big, parallel file systems','Distributed systems security'
'security for distributed systems','Distributed systems security'
'this paper provides an extensive survey of the different methods of addressing security issues in the grid computing environment, and specifically contributes to the research environment by developing a comprehensive framework for classification of these research endeavors. the framework presented classifies security literature into system solutions, behavioral solutions, hybrid solutions and related technologies. each one of these categories is explained in detail in the paper to provide insight as to their unique methods of accomplishing grid security, the types of grid and security situations they apply best to, and the pros and cons for each type of solution. further, several areas of research were identified in the course of the literature survey where more study is warranted. these avenues for future research are also discussed in this paper. several types of grid systems exist currently, and the security needs and solutions to address those needs for each type vary as much as the types of systems themselves. this research framework will aid in future research efforts to define, analyze, and address grid security problems for the many varied types of grid setups, as well as the many security situations that each grid may face.security in grid computing','Distributed systems security'
